ID,TIME,EVID,AMT,Y,CMT,ARMTYPE,DVID,IFN,IFN_dose
1,24,0,100,66.89655172,1,ifn alpha,1,100,100
1,0,0,100,100,1,ifn alpha,1,100,100
2,24,0,250,65.86206897,1,ifn alpha,1,250,250
3,24,0,500,74.82758621,1,ifn alpha,1,500,500
4,24,0,1000,82.75862069,1,ifn alpha,1,1000,1000
5,24,0,2000,88.96551724,1,ifn alpha,1,2000,2000
6,24,0,3000,91.72413793,1,ifn alpha,1,3000,3000
7,24,0,6000,90,1,ifn alpha,1,6000,6000
8,24,0,10000,91.03448276,1,ifn alpha,1,10000,10000
9,24,0,100,65.86206897,1,ifn beta,1,100,100
10,24,0,250,66.89655172,1,ifn beta,1,250,250
11,24,0,500,70,1,ifn beta,1,500,500
12,24,0,1000,75.86206897,1,ifn beta,1,1000,1000
13,24,0,2000,82.06896552,1,ifn beta,1,2000,2000
14,24,0,3000,84.82758621,1,ifn beta,1,3000,3000
15,24,0,6000,88.96551724,1,ifn beta,1,6000,6000
16,24,0,10000,87.93103448,1,ifn beta,1,10000,10000
17,0,0,3000,99.08738424,1,ifn alpha,1,3000,3000
17,2,0,3000,97.2541417,1,ifn alpha,1,3000,3000
17,6,0,3000,95.07097767,1,ifn alpha,1,3000,3000
17,12,0,3000,94.17374307,1,ifn alpha,1,3000,3000
17,24,0,3000,92.22386003,1,ifn alpha,1,3000,3000
17,36,0,3000,75.30393822,1,ifn alpha,1,3000,3000
17,48,0,3000,69.37706284,1,ifn alpha,1,3000,3000
18,0,0,6000,99.21267664,1,ifn beta,1,6000,6000
18,2,0,6000,96.21014516,1,ifn beta,1,6000,6000
18,6,0,6000,94.260903,1,ifn beta,1,6000,6000
18,12,0,6000,91.14141058,1,ifn beta,1,6000,6000
18,24,0,6000,89.31073157,1,ifn beta,1,6000,6000
18,36,0,6000,70.51943474,1,ifn beta,1,6000,6000
18,48,0,6000,64.35927837,1,ifn beta,1,6000,6000
2,0,0,250,100,1,ifn alpha,1,250,250
3,0,0,500,100,1,ifn alpha,1,500,500
4,0,0,1000,100,1,ifn alpha,1,1000,1000
5,0,0,2000,100,1,ifn alpha,1,2000,2000
6,0,0,3000,100,1,ifn alpha,1,3000,3000
7,0,0,6000,100,1,ifn alpha,1,6000,6000
8,0,0,10000,100,1,ifn alpha,1,10000,10000
9,0,0,100,100,1,ifn beta,1,100,100
10,0,0,250,100,1,ifn beta,1,250,250
11,0,0,500,100,1,ifn beta,1,500,500
12,0,0,1000,100,1,ifn beta,1,1000,1000
13,0,0,2000,100,1,ifn beta,1,2000,2000
14,0,0,3000,100,1,ifn beta,1,3000,3000
15,0,0,6000,100,1,ifn beta,1,6000,6000
16,0,0,10000,100,1,ifn beta,1,10000,10000
1,24,0,100,66.89655172,1,ifn alpha,2,100,100
1,0,0,100,100,1,ifn alpha,2,100,100
2,24,0,250,65.86206897,1,ifn alpha,2,250,250
3,24,0,500,74.82758621,1,ifn alpha,2,500,500
4,24,0,1000,82.75862069,1,ifn alpha,2,1000,1000
5,24,0,2000,88.96551724,1,ifn alpha,2,2000,2000
6,24,0,3000,91.72413793,1,ifn alpha,2,3000,3000
7,24,0,6000,90,1,ifn alpha,2,6000,6000
8,24,0,10000,91.03448276,1,ifn alpha,2,10000,10000
9,24,0,100,65.86206897,1,ifn beta,2,100,100
10,24,0,250,66.89655172,1,ifn beta,2,250,250
11,24,0,500,70,1,ifn beta,2,500,500
12,24,0,1000,75.86206897,1,ifn beta,2,1000,1000
13,24,0,2000,82.06896552,1,ifn beta,2,2000,2000
14,24,0,3000,84.82758621,1,ifn beta,2,3000,3000
15,24,0,6000,88.96551724,1,ifn beta,2,6000,6000
16,24,0,10000,87.93103448,1,ifn beta,2,10000,10000
17,0,0,3000,99.08738424,1,ifn alpha,2,3000,3000
17,2,0,3000,97.2541417,1,ifn alpha,2,3000,3000
17,6,0,3000,95.07097767,1,ifn alpha,2,3000,3000
17,12,0,3000,94.17374307,1,ifn alpha,2,3000,3000
17,24,0,3000,92.22386003,1,ifn alpha,2,3000,3000
17,36,0,3000,75.30393822,1,ifn alpha,2,3000,3000
17,48,0,3000,69.37706284,1,ifn alpha,2,3000,3000
18,0,0,6000,99.21267664,1,ifn beta,2,6000,6000
18,2,0,6000,96.21014516,1,ifn beta,2,6000,6000
18,6,0,6000,94.260903,1,ifn beta,2,6000,6000
18,12,0,6000,91.14141058,1,ifn beta,2,6000,6000
18,24,0,6000,89.31073157,1,ifn beta,2,6000,6000
18,36,0,6000,70.51943474,1,ifn beta,2,6000,6000
18,48,0,6000,64.35927837,1,ifn beta,2,6000,6000
2,0,0,250,100,1,ifn alpha,2,250,250
3,0,0,500,100,1,ifn alpha,2,500,500
4,0,0,1000,100,1,ifn alpha,2,1000,1000
5,0,0,2000,100,1,ifn alpha,2,2000,2000
6,0,0,3000,100,1,ifn alpha,2,3000,3000
7,0,0,6000,100,1,ifn alpha,2,6000,6000
8,0,0,10000,100,1,ifn alpha,2,10000,10000
9,0,0,100,100,1,ifn beta,2,100,100
10,0,0,250,100,1,ifn beta,2,250,250
11,0,0,500,100,1,ifn beta,2,500,500
12,0,0,1000,100,1,ifn beta,2,1000,1000
13,0,0,2000,100,1,ifn beta,2,2000,2000
14,0,0,3000,100,1,ifn beta,2,3000,3000
15,0,0,6000,100,1,ifn beta,2,6000,6000
16,0,0,10000,100,1,ifn beta,2,10000,10000
